,0
347,rhombohedral
348,orthorhombic
349,orthorhombic
350,orthorhombic
351,orthorhombic
352,orthorhombic
353,cubic
354,rhombohedral
355,orthorhombic
356,orthorhombic
357,orthorhombic
358,cubic
359,cubic
360,orthorhombic
361,rhombohedral
362,cubic
363,orthorhombic
364,orthorhombic
365,cubic
366,orthorhombic
367,cubic
368,orthorhombic
369,cubic
370,orthorhombic
371,rhombohedral
372,orthorhombic
373,cubic
374,cubic
375,cubic
376,orthorhombic
377,orthorhombic
378,cubic
379,orthorhombic
380,orthorhombic
381,orthorhombic
382,orthorhombic
383,rhombohedral
384,cubic
385,cubic
386,orthorhombic
387,cubic
388,cubic
389,cubic
390,cubic
391,orthorhombic
392,cubic
393,cubic
394,cubic
395,orthorhombic
396,tetragonal
397,orthorhombic
398,tetragonal
399,orthorhombic
400,orthorhombic
401,orthorhombic
402,orthorhombic
403,cubic
404,orthorhombic
405,rhombohedral
406,cubic
407,cubic
408,cubic
409,cubic
410,cubic
411,cubic
412,cubic
413,cubic
414,cubic
415,cubic
416,orthorhombic
417,cubic
418,rhombohedral
419,cubic
420,cubic
421,cubic
422,cubic
423,cubic
424,cubic
425,orthorhombic
426,cubic
427,cubic
428,orthorhombic
429,cubic
430,cubic
431,cubic
432,cubic
433,cubic
434,cubic
435,cubic
436,orthorhombic
437,cubic
438,cubic
439,cubic
440,cubic
441,cubic
442,cubic
443,cubic
444,rhombohedral
445,cubic
446,cubic
447,cubic
448,cubic
449,orthorhombic
450,cubic
451,cubic
452,cubic
453,cubic
454,cubic
455,cubic
456,cubic
457,cubic
458,cubic
459,cubic
460,cubic
461,cubic
462,cubic
463,cubic
464,cubic
465,cubic
466,cubic
467,cubic
468,cubic
469,cubic
470,cubic
471,cubic
472,cubic
473,orthorhombic
474,cubic
475,cubic
476,orthorhombic
477,orthorhombic
478,orthorhombic
479,cubic
480,cubic
481,orthorhombic
482,tetragonal
483,cubic
484,orthorhombic
485,cubic
486,cubic
487,orthorhombic
488,orthorhombic
489,orthorhombic
490,orthorhombic
491,cubic
492,cubic
493,orthorhombic
494,orthorhombic
495,tetragonal
496,cubic
497,tetragonal
498,orthorhombic
499,orthorhombic
500,cubic
501,orthorhombic
502,cubic
503,orthorhombic
504,cubic
505,cubic
506,orthorhombic
507,orthorhombic
508,orthorhombic
509,orthorhombic
510,orthorhombic
511,orthorhombic
512,cubic
513,orthorhombic
514,orthorhombic
515,orthorhombic
516,orthorhombic
517,cubic
518,cubic
519,cubic
520,orthorhombic
521,cubic
522,orthorhombic
523,orthorhombic
524,orthorhombic
525,orthorhombic
526,cubic
527,cubic
528,orthorhombic
529,orthorhombic
530,orthorhombic
531,cubic
532,cubic
533,cubic
534,rhombohedral
535,orthorhombic
536,cubic
537,cubic
538,orthorhombic
539,cubic
540,cubic
541,cubic
542,orthorhombic
543,orthorhombic
544,orthorhombic
545,cubic
546,orthorhombic
547,orthorhombic
548,cubic
549,cubic
550,orthorhombic
551,orthorhombic
552,orthorhombic
553,cubic
554,rhombohedral
555,orthorhombic
556,cubic
557,rhombohedral
558,orthorhombic
559,orthorhombic
560,cubic
561,rhombohedral
562,rhombohedral
563,cubic
564,cubic
565,orthorhombic
566,cubic
567,orthorhombic
568,orthorhombic
569,orthorhombic
570,cubic
571,cubic
572,cubic
573,orthorhombic
574,orthorhombic
575,tetragonal
576,orthorhombic
577,orthorhombic
578,orthorhombic
579,cubic
580,rhombohedral
581,orthorhombic
582,orthorhombic
583,orthorhombic
584,cubic
585,orthorhombic
586,orthorhombic
587,cubic
588,orthorhombic
589,orthorhombic
590,orthorhombic
591,orthorhombic
592,orthorhombic
593,rhombohedral
594,cubic
595,orthorhombic
596,cubic
597,orthorhombic
598,cubic
599,orthorhombic
600,cubic
601,orthorhombic
602,orthorhombic
603,orthorhombic
604,cubic
605,orthorhombic
606,orthorhombic
607,cubic
608,cubic
609,orthorhombic
610,orthorhombic
611,orthorhombic
612,orthorhombic
613,orthorhombic
614,orthorhombic
615,cubic
616,orthorhombic
617,cubic
618,orthorhombic
619,cubic
620,cubic
621,cubic
622,rhombohedral
623,orthorhombic
624,cubic
625,orthorhombic
626,cubic
627,cubic
628,orthorhombic
629,orthorhombic
630,orthorhombic
631,cubic
632,orthorhombic
633,rhombohedral
634,cubic
635,cubic
636,cubic
637,orthorhombic
638,cubic
639,cubic
640,cubic
641,cubic
642,cubic
643,orthorhombic
644,rhombohedral
645,cubic
646,orthorhombic
647,cubic
648,orthorhombic
649,rhombohedral
650,orthorhombic
651,orthorhombic
652,cubic
653,orthorhombic
654,orthorhombic
655,cubic
656,rhombohedral
657,orthorhombic
658,orthorhombic
659,orthorhombic
660,orthorhombic
661,tetragonal
662,cubic
663,orthorhombic
664,orthorhombic
665,rhombohedral
666,cubic
667,orthorhombic
668,cubic
669,orthorhombic
670,cubic
671,cubic
672,orthorhombic
673,orthorhombic
674,cubic
675,cubic
676,cubic
677,orthorhombic
678,orthorhombic
679,orthorhombic
680,rhombohedral
681,orthorhombic
682,orthorhombic
683,cubic
684,orthorhombic
685,cubic
686,cubic
687,cubic
688,orthorhombic
689,cubic
690,orthorhombic
691,orthorhombic
692,orthorhombic
693,orthorhombic
694,orthorhombic
695,cubic
696,orthorhombic
697,orthorhombic
698,cubic
699,orthorhombic
700,orthorhombic
701,orthorhombic
702,orthorhombic
703,orthorhombic
704,orthorhombic
705,orthorhombic
706,cubic
707,orthorhombic
708,orthorhombic
709,orthorhombic
710,orthorhombic
711,orthorhombic
712,cubic
713,orthorhombic
714,cubic
715,orthorhombic
716,orthorhombic
717,cubic
718,orthorhombic
719,cubic
720,orthorhombic
721,cubic
722,orthorhombic
723,orthorhombic
724,orthorhombic
725,orthorhombic
726,cubic
727,orthorhombic
728,tetragonal
729,cubic
730,orthorhombic
731,cubic
732,orthorhombic
733,cubic
734,cubic
735,cubic
736,orthorhombic
737,orthorhombic
738,orthorhombic
739,cubic
740,orthorhombic
741,orthorhombic
742,cubic
743,cubic
744,orthorhombic
745,orthorhombic
746,cubic
747,cubic
748,cubic
749,cubic
750,cubic
751,rhombohedral
752,cubic
753,orthorhombic
754,rhombohedral
755,rhombohedral
756,orthorhombic
757,cubic
758,cubic
759,cubic
760,rhombohedral
761,cubic
762,rhombohedral
763,cubic
764,cubic
765,cubic
766,cubic
767,cubic
768,cubic
769,rhombohedral
770,cubic
771,cubic
772,orthorhombic
773,rhombohedral
774,cubic
775,cubic
776,cubic
777,cubic
778,orthorhombic
779,rhombohedral
780,cubic
781,rhombohedral
782,cubic
783,cubic
784,rhombohedral
785,cubic
786,rhombohedral
787,cubic
788,cubic
789,rhombohedral
790,cubic
791,cubic
792,cubic
793,cubic
794,cubic
795,cubic
796,orthorhombic
797,cubic
798,rhombohedral
799,cubic
800,rhombohedral
801,cubic
802,cubic
803,cubic
804,rhombohedral
805,cubic
806,cubic
807,cubic
808,cubic
809,rhombohedral
810,orthorhombic
811,cubic
812,cubic
813,cubic
814,cubic
815,cubic
816,cubic
817,cubic
818,orthorhombic
819,cubic
820,rhombohedral
821,orthorhombic
822,cubic
823,rhombohedral
824,cubic
825,cubic
826,cubic
827,cubic
828,cubic
829,orthorhombic
830,cubic
831,cubic
832,rhombohedral
833,cubic
834,cubic
835,cubic
836,cubic
837,cubic
838,cubic
839,cubic
840,rhombohedral
841,cubic
842,cubic
843,cubic
844,cubic
845,orthorhombic
846,orthorhombic
847,orthorhombic
848,rhombohedral
849,cubic
850,cubic
851,orthorhombic
852,cubic
853,rhombohedral
854,cubic
855,orthorhombic
856,cubic
857,cubic
858,cubic
859,cubic
860,cubic
861,cubic
862,cubic
863,rhombohedral
864,cubic
865,orthorhombic
866,orthorhombic
867,orthorhombic
868,cubic
869,cubic
870,orthorhombic
871,orthorhombic
872,cubic
873,cubic
874,cubic
875,orthorhombic
876,cubic
877,orthorhombic
878,cubic
879,cubic
880,cubic
881,cubic
882,cubic
883,tetragonal
884,cubic
885,cubic
886,cubic
887,cubic
888,cubic
889,cubic
890,cubic
891,cubic
892,cubic
893,cubic
894,cubic
895,cubic
896,tetragonal
897,cubic
898,rhombohedral
899,tetragonal
900,cubic
901,cubic
902,rhombohedral
903,orthorhombic
904,tetragonal
905,cubic
906,rhombohedral
907,cubic
908,cubic
909,cubic
910,tetragonal
911,cubic
912,tetragonal
913,cubic
914,tetragonal
915,rhombohedral
916,tetragonal
917,cubic
918,tetragonal
919,cubic
920,cubic
921,tetragonal
922,tetragonal
923,tetragonal
924,tetragonal
925,rhombohedral
926,cubic
927,rhombohedral
928,cubic
929,cubic
930,tetragonal
931,cubic
932,tetragonal
933,tetragonal
934,tetragonal
935,orthorhombic
936,rhombohedral
937,orthorhombic
938,cubic
939,tetragonal
940,cubic
941,cubic
942,cubic
943,cubic
944,orthorhombic
945,cubic
946,rhombohedral
947,cubic
948,cubic
949,orthorhombic
950,cubic
951,rhombohedral
952,orthorhombic
953,cubic
954,rhombohedral
955,cubic
956,cubic
957,cubic
958,cubic
959,rhombohedral
960,cubic
961,orthorhombic
962,cubic
963,cubic
964,rhombohedral
965,cubic
966,cubic
967,orthorhombic
968,rhombohedral
969,cubic
970,cubic
971,cubic
972,rhombohedral
973,cubic
974,cubic
975,cubic
976,cubic
977,rhombohedral
978,cubic
979,rhombohedral
980,rhombohedral
981,cubic
982,rhombohedral
983,rhombohedral
984,cubic
985,rhombohedral
986,cubic
987,cubic
988,cubic
989,rhombohedral
990,cubic
991,orthorhombic
992,rhombohedral
993,cubic
994,cubic
995,rhombohedral
996,cubic
997,orthorhombic
998,orthorhombic
999,rhombohedral
1000,rhombohedral
1001,cubic
1002,orthorhombic
1003,rhombohedral
1004,rhombohedral
1005,rhombohedral
1006,orthorhombic
1007,rhombohedral
1008,rhombohedral
1009,orthorhombic
1010,cubic
1011,cubic
1012,cubic
1013,orthorhombic
1014,cubic
1015,cubic
1016,cubic
1017,orthorhombic
1018,tetragonal
1019,cubic
1020,cubic
1021,cubic
1022,cubic
1023,orthorhombic
1024,orthorhombic
1025,orthorhombic
1026,cubic
1027,cubic
1028,cubic
1029,orthorhombic
1030,orthorhombic
1031,cubic
1032,cubic
1033,cubic
1034,cubic
1035,cubic
1036,cubic
1037,cubic
1038,orthorhombic
1039,cubic
1040,orthorhombic
1041,cubic
1042,orthorhombic
1043,orthorhombic
1044,cubic
1045,cubic
1046,cubic
1047,cubic
1048,orthorhombic
1049,cubic
1050,cubic
1051,orthorhombic
1052,cubic
1053,cubic
1054,cubic
1055,orthorhombic
1056,cubic
1057,cubic
1058,cubic
1059,cubic
1060,orthorhombic
1061,cubic
1062,cubic
1063,cubic
1064,orthorhombic
1065,cubic
1066,cubic
1067,cubic
1068,cubic
1069,orthorhombic
1070,cubic
1071,cubic
1072,cubic
1073,orthorhombic
1074,cubic
1075,cubic
1076,cubic
1077,orthorhombic
1078,cubic
1079,cubic
1080,orthorhombic
1081,cubic
1082,cubic
1083,cubic
1084,orthorhombic
1085,tetragonal
1086,cubic
1087,cubic
1088,cubic
1089,cubic
1090,orthorhombic
1091,orthorhombic
1092,orthorhombic
1093,orthorhombic
1094,cubic
1095,cubic
1096,cubic
1097,orthorhombic
1098,orthorhombic
1099,cubic
1100,cubic
1101,cubic
1102,cubic
1103,cubic
1104,cubic
1105,cubic
1106,cubic
1107,cubic
1108,cubic
1109,cubic
1110,cubic
1111,orthorhombic
1112,cubic
1113,cubic
1114,cubic
1115,cubic
1116,orthorhombic
1117,cubic
1118,cubic
1119,cubic
1120,cubic
1121,cubic
1122,cubic
1123,orthorhombic
1124,cubic
1125,cubic
1126,cubic
1127,cubic
1128,cubic
1129,cubic
1130,cubic
1131,cubic
1132,orthorhombic
1133,cubic
1134,cubic
1135,cubic
1136,cubic
1137,orthorhombic
1138,cubic
1139,cubic
1140,cubic
1141,orthorhombic
1142,cubic
1143,cubic
1144,cubic
1145,orthorhombic
1146,cubic
1147,orthorhombic
1148,cubic
1149,tetragonal
1150,orthorhombic
1151,cubic
1152,orthorhombic
1153,cubic
1154,orthorhombic
1155,cubic
1156,orthorhombic
1157,cubic
1158,orthorhombic
1159,orthorhombic
1160,cubic
1161,orthorhombic
1162,orthorhombic
1163,orthorhombic
1164,cubic
1165,orthorhombic
1166,rhombohedral
1167,orthorhombic
1168,rhombohedral
1169,orthorhombic
1170,orthorhombic
1171,orthorhombic
1172,orthorhombic
1173,orthorhombic
1174,cubic
1175,orthorhombic
1176,rhombohedral
1177,orthorhombic
1178,orthorhombic
1179,rhombohedral
1180,orthorhombic
1181,orthorhombic
1182,orthorhombic
1183,cubic
1184,orthorhombic
1185,orthorhombic
1186,orthorhombic
1187,orthorhombic
1188,cubic
1189,orthorhombic
1190,orthorhombic
1191,cubic
1192,orthorhombic
1193,orthorhombic
1194,orthorhombic
1195,orthorhombic
1196,orthorhombic
1197,cubic
1198,orthorhombic
1199,orthorhombic
1200,cubic
1201,orthorhombic
1202,orthorhombic
1203,orthorhombic
1204,orthorhombic
1205,orthorhombic
1206,orthorhombic
1207,orthorhombic
1208,cubic
1209,orthorhombic
1210,orthorhombic
1211,orthorhombic
1212,cubic
1213,rhombohedral
1214,orthorhombic
1215,orthorhombic
1216,cubic
1217,cubic
1218,cubic
1219,cubic
1220,orthorhombic
1221,cubic
1222,orthorhombic
1223,orthorhombic
1224,orthorhombic
1225,orthorhombic
1226,cubic
1227,cubic
1228,rhombohedral
1229,cubic
1230,cubic
1231,cubic
1232,orthorhombic
1233,cubic
1234,cubic
1235,orthorhombic
1236,cubic
1237,cubic
1238,orthorhombic
1239,cubic
1240,cubic
1241,orthorhombic
1242,orthorhombic
1243,orthorhombic
1244,cubic
1245,cubic
1246,rhombohedral
1247,orthorhombic
1248,orthorhombic
1249,orthorhombic
1250,cubic
1251,cubic
1252,rhombohedral
1253,cubic
1254,orthorhombic
1255,cubic
1256,rhombohedral
1257,orthorhombic
1258,cubic
1259,cubic
1260,cubic
1261,cubic
1262,cubic
1263,orthorhombic
1264,cubic
1265,orthorhombic
1266,orthorhombic
1267,cubic
1268,cubic
1269,cubic
1270,cubic
1271,orthorhombic
1272,cubic
1273,cubic
1274,cubic
1275,rhombohedral
1276,orthorhombic
1277,cubic
1278,cubic
1279,orthorhombic
1280,cubic
1281,cubic
1282,cubic
1283,cubic
1284,orthorhombic
1285,cubic
1286,orthorhombic
1287,orthorhombic
1288,orthorhombic
1289,rhombohedral
1290,cubic
1291,cubic
1292,cubic
1293,cubic
1294,cubic
1295,cubic
1296,orthorhombic
1297,cubic
1298,cubic
1299,rhombohedral
1300,cubic
1301,cubic
1302,cubic
1303,cubic
1304,cubic
1305,cubic
1306,orthorhombic
1307,rhombohedral
1308,cubic
1309,cubic
1310,cubic
1311,cubic
1312,cubic
1313,orthorhombic
1314,tetragonal
1315,rhombohedral
1316,cubic
1317,cubic
1318,rhombohedral
1319,cubic
1320,rhombohedral
1321,cubic
1322,orthorhombic
1323,orthorhombic
1324,cubic
1325,cubic
1326,cubic
1327,cubic
1328,cubic
1329,cubic
1330,rhombohedral
1331,cubic
1332,orthorhombic
1333,tetragonal
1334,rhombohedral
1335,cubic
1336,cubic
1337,cubic
1338,orthorhombic
1339,cubic
1340,tetragonal
1341,cubic
1342,cubic
1343,rhombohedral
1344,orthorhombic
1345,cubic
1346,cubic
1347,cubic
1348,orthorhombic
1349,cubic
1350,cubic
1351,cubic
1352,orthorhombic
1353,orthorhombic
1354,cubic
1355,cubic
1356,cubic
1357,cubic
1358,orthorhombic
1359,tetragonal
1360,orthorhombic
1361,cubic
1362,cubic
1363,cubic
1364,orthorhombic
1365,orthorhombic
1366,cubic
1367,cubic
1368,orthorhombic
1369,cubic
1370,cubic
1371,cubic
1372,cubic
1373,orthorhombic
1374,cubic
1375,orthorhombic
1376,cubic
1377,orthorhombic
1378,orthorhombic
1379,cubic
1380,cubic
1381,cubic
1382,cubic
1383,orthorhombic
1384,cubic
1385,cubic
1386,orthorhombic
1387,cubic
1388,cubic
1389,cubic
1390,orthorhombic
1391,cubic
1392,orthorhombic
1393,cubic
1394,cubic
1395,orthorhombic
1396,cubic
1397,cubic
1398,cubic
1399,orthorhombic
1400,cubic
1401,cubic
1402,cubic
1403,cubic
1404,orthorhombic
1405,orthorhombic
1406,cubic
1407,cubic
1408,orthorhombic
1409,cubic
1410,cubic
1411,cubic
1412,orthorhombic
1413,cubic
1414,cubic
1415,cubic
1416,cubic
1417,cubic
1418,cubic
1419,orthorhombic
1420,cubic
1421,cubic
1422,tetragonal
1423,orthorhombic
1424,orthorhombic
1425,cubic
1426,cubic
1427,orthorhombic
1428,cubic
1429,cubic
1430,cubic
1431,orthorhombic
1432,cubic
1433,cubic
1434,cubic
1435,tetragonal
1436,orthorhombic
1437,cubic
1438,cubic
1439,cubic
1440,cubic
1441,orthorhombic
1442,cubic
1443,cubic
1444,cubic
1445,cubic
1446,cubic
1447,orthorhombic
1448,orthorhombic
1449,orthorhombic
1450,cubic
1451,cubic
1452,cubic
1453,rhombohedral
1454,cubic
1455,cubic
1456,cubic
1457,cubic
1458,orthorhombic
1459,cubic
1460,cubic
1461,cubic
1462,cubic
1463,cubic
1464,tetragonal
1465,cubic
1466,orthorhombic
1467,orthorhombic
1468,rhombohedral
1469,cubic
1470,cubic
1471,cubic
1472,tetragonal
1473,rhombohedral
1474,cubic
1475,cubic
1476,tetragonal
1477,tetragonal
1478,cubic
1479,orthorhombic
1480,cubic
1481,cubic
1482,orthorhombic
1483,cubic
1484,cubic
1485,cubic
1486,cubic
1487,orthorhombic
1488,cubic
1489,cubic
1490,orthorhombic
1491,orthorhombic
1492,orthorhombic
1493,cubic
1494,cubic
1495,cubic
1496,cubic
1497,cubic
1498,orthorhombic
1499,cubic
1500,cubic
1501,cubic
1502,cubic
1503,cubic
1504,orthorhombic
1505,cubic
1506,cubic
1507,cubic
1508,orthorhombic
1509,orthorhombic
1510,orthorhombic
1511,cubic
1512,cubic
1513,cubic
1514,cubic
1515,orthorhombic
1516,cubic
1517,orthorhombic
1518,cubic
1519,cubic
1520,orthorhombic
1521,cubic
1522,orthorhombic
1523,cubic
1524,orthorhombic
1525,tetragonal
1526,cubic
1527,cubic
1528,cubic
1529,cubic
1530,cubic
1531,cubic
1532,cubic
1533,orthorhombic
1534,orthorhombic
1535,cubic
1536,cubic
1537,cubic
1538,cubic
1539,cubic
1540,orthorhombic
1541,cubic
1542,orthorhombic
1543,cubic
1544,cubic
1545,cubic
1546,orthorhombic
1547,cubic
1548,cubic
1549,orthorhombic
1550,orthorhombic
1551,rhombohedral
1552,orthorhombic
1553,cubic
1554,orthorhombic
1555,cubic
1556,rhombohedral
1557,cubic
1558,cubic
1559,cubic
1560,rhombohedral
1561,orthorhombic
1562,cubic
1563,orthorhombic
1564,cubic
1565,cubic
1566,orthorhombic
1567,orthorhombic
1568,orthorhombic
1569,cubic
1570,rhombohedral
1571,rhombohedral
1572,cubic
1573,cubic
1574,cubic
1575,rhombohedral
1576,cubic
1577,cubic
1578,cubic
1579,cubic
1580,cubic
1581,orthorhombic
1582,cubic
1583,cubic
1584,tetragonal
1585,cubic
1586,orthorhombic
1587,rhombohedral
1588,orthorhombic
1589,orthorhombic
1590,cubic
1591,orthorhombic
1592,rhombohedral
1593,cubic
1594,cubic
1595,rhombohedral
1596,rhombohedral
1597,orthorhombic
1598,orthorhombic
1599,tetragonal
1600,cubic
1601,rhombohedral
1602,cubic
1603,cubic
1604,cubic
1605,orthorhombic
1606,cubic
1607,rhombohedral
1608,cubic
1609,cubic
1610,tetragonal
1611,orthorhombic
1612,cubic
1613,cubic
1614,cubic
1615,cubic
1616,rhombohedral
1617,cubic
1618,orthorhombic
1619,cubic
1620,cubic
1621,cubic
1622,orthorhombic
1623,tetragonal
1624,cubic
1625,cubic
1626,cubic
1627,cubic
1628,orthorhombic
1629,orthorhombic
1630,orthorhombic
1631,orthorhombic
1632,cubic
1633,cubic
1634,orthorhombic
1635,orthorhombic
1636,orthorhombic
1637,cubic
1638,cubic
1639,cubic
1640,cubic
1641,cubic
1642,cubic
1643,cubic
1644,orthorhombic
1645,cubic
1646,cubic
1647,cubic
1648,cubic
1649,orthorhombic
1650,cubic
1651,cubic
1652,cubic
1653,cubic
1654,orthorhombic
1655,cubic
1656,cubic
1657,cubic
1658,cubic
1659,cubic
1660,cubic
1661,orthorhombic
1662,cubic
1663,cubic
1664,cubic
1665,cubic
1666,cubic
1667,cubic
1668,cubic
1669,cubic
1670,orthorhombic
1671,cubic
1672,cubic
1673,cubic
1674,cubic
1675,orthorhombic
1676,orthorhombic
1677,cubic
1678,cubic
1679,orthorhombic
1680,cubic
1681,cubic
1682,cubic
1683,orthorhombic
1684,cubic
1685,cubic
1686,orthorhombic
1687,cubic
1688,cubic
1689,cubic
1690,orthorhombic
1691,cubic
1692,cubic
1693,cubic
1694,cubic
1695,cubic
1696,cubic
1697,cubic
1698,orthorhombic
1699,cubic
1700,cubic
1701,cubic
1702,orthorhombic
1703,cubic
1704,cubic
1705,cubic
1706,orthorhombic
1707,orthorhombic
1708,cubic
1709,cubic
1710,orthorhombic
1711,cubic
1712,orthorhombic
1713,cubic
1714,cubic
1715,cubic
1716,cubic
1717,rhombohedral
1718,cubic
1719,cubic
1720,tetragonal
1721,cubic
1722,cubic
1723,rhombohedral
1724,cubic
1725,cubic
1726,cubic
1727,cubic
1728,cubic
1729,orthorhombic
1730,cubic
1731,cubic
1732,orthorhombic
1733,tetragonal
1734,orthorhombic
1735,cubic
1736,cubic
1737,orthorhombic
1738,orthorhombic
1739,tetragonal
1740,cubic
1741,cubic
1742,cubic
1743,orthorhombic
1744,orthorhombic
1745,cubic
1746,cubic
1747,rhombohedral
1748,cubic
1749,cubic
1750,cubic
1751,cubic
1752,rhombohedral
1753,cubic
1754,cubic
1755,cubic
1756,cubic
1757,cubic
1758,rhombohedral
1759,cubic
1760,cubic
1761,rhombohedral
1762,cubic
1763,cubic
1764,cubic
1765,cubic
1766,rhombohedral
1767,cubic
1768,cubic
1769,cubic
1770,rhombohedral
1771,cubic
1772,cubic
1773,cubic
1774,cubic
1775,cubic
1776,cubic
1777,cubic
1778,cubic
1779,cubic
1780,rhombohedral
1781,cubic
1782,orthorhombic
1783,cubic
1784,cubic
1785,cubic
1786,cubic
1787,rhombohedral
1788,cubic
1789,cubic
1790,cubic
1791,cubic
1792,rhombohedral
1793,cubic
1794,cubic
1795,cubic
1796,cubic
1797,rhombohedral
1798,cubic
1799,cubic
1800,cubic
1801,cubic
1802,cubic
1803,cubic
1804,cubic
1805,cubic
1806,rhombohedral
1807,cubic
1808,cubic
1809,cubic
1810,cubic
1811,cubic
1812,rhombohedral
1813,cubic
1814,cubic
1815,cubic
1816,cubic
1817,cubic
1818,rhombohedral
1819,cubic
1820,cubic
1821,orthorhombic
1822,cubic
1823,rhombohedral
1824,orthorhombic
1825,cubic
1826,cubic
1827,cubic
1828,orthorhombic
1829,cubic
1830,cubic
1831,orthorhombic
1832,tetragonal
1833,tetragonal
1834,cubic
1835,cubic
1836,cubic
1837,cubic
1838,cubic
1839,tetragonal
1840,cubic
